Timestamp,Phase,PayloadSizeMB,IterationDepth,LatencyMs,EstimatedBandwidthGBps,ThermalState
2026-09-02 13:58:48,RampPhase,10MB,20000,7,11,000.00,NOMINAL
2026-09-02 13:58:48,RampPhase,50MB,100000,17,22,647.06,NOMINAL
2026-09-02 13:58:48,RampPhase,100MB,200000,23,33,478.26,NOMINAL
2026-09-02 13:58:48,RampPhase,250MB,500000,63,30,555.56,NOMINAL
2026-09-02 13:58:48,RampPhase,500MB,1000000,125,30,800.00,NOMINAL
2026-09-02 13:58:48,RampPhase,1024MB,2048000,251,31,413.55,NOMINAL
